Total of 228 directories 
     key    d_min fraction_found  Signal
2fg9/w3/  3.00   0.000   5.400 
2fg9/w3/  3.50   0.000   5.210 
2fg9/w3/  4.00   0.125   5.080 
2fg9/w3/  4.50   0.000   4.320 
2fg9/w3/  5.00   0.000   3.710 
2fg9/w3/  5.50   0.000   3.260 
2fg9/w3/  6.00   0.000   3.210 
2fna/w1/  2.00   0.700  12.590 
2fna/w1/  2.50   0.900  13.310 
2fna/w1/  3.00   0.700  11.650 
2fna/w1/  3.50   0.700  10.580 
2fna/w1/  4.00   0.900  10.340 
2fna/w1/  4.50   0.700   9.630 
2fna/w1/  5.00   0.600   8.760 
2fna/w1/  5.50   0.700   8.100 
2fna/w1/  6.00   0.600   7.390 
2fna/w2/  2.00   0.100   8.130 
2fna/w2/  2.50   0.100   8.830 
2fna/w2/  3.00   0.600   8.240 
2fna/w2/  3.50   0.600   7.200 
2fna/w2/  4.00   0.600   7.290 
2fna/w2/  4.50   0.400   7.110 
2fna/w2/  5.00   0.400   6.530 
2fna/w2/  5.50   0.400   6.270 
2fna/w2/  6.00   0.400   5.720 
2fqp/w1/  1.80   0.400   3.230 
2fqp/w1/  2.50   0.200   3.580 
2fqp/w1/  3.00   0.200   2.860 
2fqp/w1/  3.50   0.100   2.490 
2fqp/w1/  4.00   0.100   1.940 
2fqp/w1/  4.50   0.100   1.720 
2fqp/w1/  5.00   0.100   1.600 
2fqp/w1/  5.50   0.100   1.690 
2fqp/w1/  6.00   0.000   1.380 
2fqp/w2/  1.80   0.800  13.750 
2fqp/w2/  2.50   0.900  13.280 
2fqp/w2/  3.00   0.900  10.140 
2fqp/w2/  3.50   0.300   8.150 
2fqp/w2/  4.00   0.400   6.570 
2fqp/w2/  4.50   0.100   5.500 
2fqp/w2/  5.00   0.200   4.790 
2fqp/w2/  5.50   0.100   4.170 
2fqp/w2/  6.00   0.100   3.600 
