GET ATOMIC IMAGES OF A CHOSEN RESOLUTION

input file of scattering factors :
    MX_wk1995_6.SF
truncation radius          11.0000
distance grid step          0.0010
resolution cut-off          1.0000
resolution grid number   2000
temperature factor          0.0000
number of atomic types      7
following atomic types are chosen :
    C    N    O    P    S    Fe   Au  

scattering factors file. First line:
following wk1995.cpp from Phenix

table of scattering factors contains data for  213  atomic types
    6 -Gaussian approximation is used
identified positions in the table
    7    8    9   16   17   27   80

     N     dist       C              N              O              P              S              Fe             Au             
   217     0.2170        7.91030700     9.81163204    12.19726597    27.95714204    29.40404593    51.88143335   191.19490838
   218     0.2180        7.89787211     9.79646957    12.17841634    27.91011476    29.35481447    51.79581806   190.86804516
   219     0.2190        7.88539502     9.78125539    12.15950231    27.86292923    29.30541730    51.70991327   190.54008361
   220     0.2200        7.87287590     9.76598973    12.14052419    27.81558619    29.25585518    51.62372029   190.21102891
   221     0.2210        7.86031494     9.75067281    12.12148225    27.76808640    29.20612891    51.53724048   189.88088625
   222     0.2220        7.84771235     9.73530486    12.10237678    27.72043060    29.15623924    51.45047516   189.54966082
   223     0.2230        7.83506830     9.71988613    12.08320807    27.67261953    29.10618698    51.36342569   189.21735786
   224     0.2240        7.82238301     9.70441684    12.06397641    27.62465394    29.05597290    51.27609341   188.88398259
   225     0.2250        7.80965665     9.68889723    12.04468208    27.57653460    29.00559779    51.18847967   188.54954026
   226     0.2260        7.79688944     9.67332753    12.02532539    27.52826224    28.95506244    51.10058584   188.21403614
   227     0.2270        7.78408155     9.65770797    12.00590661    27.47983763    28.90436764    51.01241326   187.87747550
   228     0.2280        7.77123319     9.64203880    11.98642605    27.43126153    28.85351418    50.92396331   187.53986363
   229     0.2290        7.75834455     9.62632025    11.96688399    27.38253470    28.80250286    50.83523735   187.20120583
   230     0.2300        7.74541583     9.61055256    11.94728072    27.33365789    28.75133448    50.74623674   186.86150744
   231     0.2310        7.73244723     9.59473596    11.92761655    27.28463188    28.70000983    50.65696288   186.52077377
   232     0.2320        7.71943894     9.57887069    11.90789177    27.23545743    28.64852972    50.56741712   186.17901018
   233     0.2330        7.70639117     9.56295700    11.88810667    27.18613531    28.59689495    50.47760086   185.83622203
   234     0.2340        7.69330411     9.54699511    11.86826155    27.13666628    28.54510633    50.38751548   185.49241469
   235     0.2350        7.68017797     9.53098528    11.84835671    27.08705113    28.49316466    50.29716237   185.14759355
   236     0.2360        7.66701293     9.51492774    11.82839245    27.03729063    28.44107075    50.20654291   184.80176401
   237     0.2370        7.65380921     9.49882273    11.80836906    26.98738554    28.38882543    50.11565851   184.45493149
   238     0.2380        7.64056700     9.48267050    11.78828685    26.93733666    28.33642949    50.02451056   184.10710141
   239     0.2390        7.62728651     9.46647129    11.76814611    26.88714476    28.28388375    49.93310047   183.75827921
   240     0.2400        7.61396794     9.45022534    11.74794714    26.83681061    28.23118904    49.84142963   183.40847035
